shot_id,scene,duration_s,visual,michel_visible,mouth_visible,dialogue_he,elevenlabs_file,hf_model,reference_inputs,camera,movement,audio_method,sfx,continuity,gen_status,approval,approval_status
1H,Seq 1 - Helicopter,4,"Michel calls out, helicopter flies on regardless",yes,yes,אפשר רגע להוריד אותיייי?!,S01_SH08_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Wide, aircraft departing",Camera holds as helicopter moves away,Same megaphone post chain. SMASH CUT on the end,"Megaphone, doppler, wind",Ends on smash cut to silence in 1I,pending,pending,
1I,Seq 1 - Helicopter,4,"Michel standing safely on ground, hair messy, silent, fixes uniform",yes,yes,הכול היה בשליטה.,S01_SH09_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium,Static - let the silence sit,"Clean ElevenLabs, dry delivery. Silence before the line","Silence, then uniform rustle",Hair deliberately messy - the ONLY shot where hair differs,pending,pending,
1J,Seq 1 - Helicopter,8,"Michel beside helicopter, calm and serious - the real educational point",yes,no,"וברצינות, לביא — מסוק יכול לעזור למשטרה לראות מלמעלה, לסייע בחיפושים ולהעביר מידע לצוותים שעל הקרקע.",S01_SH10_Michel.wav,seedance_2_0_mini @720p,Element: Michel-Benet-Police,"Medium, slight low angle",Very slow push-in,ElevenLabs VO over B-roll - no lipsync pass,"Light ambience, soft educational music bed",Hair tidy again - explicitly separates comedy from fact,pending,pending,
2A,Seq 2 - Kinder Theft,5,"Michel at station desk, police radio beeps",yes,yes,מה נגנב?,S02_SH01_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium,Static,Michel clean ElevenLabs. Radio voice = separate ElevenLabs voice + radio EQ,"Radio beep, static, station ambience",Radio dispatch voice must stay the same voice all film,pending,pending,
2A-R,Seq 2 - Kinder Theft,0,Radio dispatch voice only - no visual,no,no,"מישל, התקבל דיווח על גניבה. / קינדר.",S02_SH01_Radio.wav,n/a - audio only,none,n/a,n/a,"Separate ElevenLabs voice, processed with radio EQ and light static",Radio squelch,Dispatch voice consistent with 4A,pending,pending,
2B,Seq 2 - Kinder Theft,3,Extreme dramatic push-in on Michel's eyes,yes,yes,לביא... / יש דברים שפשוט לא עושים.,S02_SH02_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Extreme close-up on eyes,Fast dramatic punch-in,"Clean ElevenLabs, absurdly serious delivery",Absurd dramatic orchestral sting,Comedy depends on total sincerity - 3 takes required,pending,pending,
2C,Seq 2 - Kinder Theft,6,"CCTV style, desaturated. Thief enters with exaggerated cartoon sneaking - high knees, tiptoes, looks left, looks right, freezes",no,no,,,seedance_2_0_mini @480p,Element: Thief (to be created),Fixed high corner CCTV angle,Locked off - no camera move,No dialogue. CCTV hum only | 480p - degraded CCTV look is intentional,"CCTV hum, footsteps",CCTV look locked here. Timestamp added in POST only,pending,pending,
2E,Seq 2 - Kinder Theft,6,"Thief takes Kinder, looks directly into CCTV camera, accidentally waves, freezes, slowly lowers hand, continues sneaking",no,no,,,seedance_2_0_mini @480p,Element: Thief,CCTV angle,Locked off,Comedic timing carried by silence | 480p - degraded CCTV look is intentional,"CCTV hum, single comedic beat",The wave is the key gag - hold the freeze long enough,pending,pending,
2F,Seq 2 - Kinder Theft,5,"Michel watching the CCTV monitor, deadpan",yes,yes,"לביא, ראית את זה? / גם המצלמה.",S02_SH06_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Medium, monitor glow on face",Static,Clean ElevenLabs. Full beat of pause before the punchline,"Monitor hum, room tone",Monitor light must match CCTV footage on screen,pending,pending,
2G,Seq 2 - Kinder Theft,8,Michel pauses the CCTV - the core investigation lesson,yes,no,"כששוטרים חוקרים, הם לא פשוט מחליטים מי אשם. / בודקים מידע. / מחפשים ראיות. / מדברים עם אנשים. / ואם יש מצלמות — בודקים גם אותן.",S02_SH07_Michel.wav,seedance_2_0_mini @720p,Element: Michel-Benet-Police,Medium,Slow push-in,ElevenLabs VO over B-roll - no lipsync pass,Soft educational music bed,Callout graphics are POST only - no AI-rendered Hebrew text,pending,pending,
2H,Seq 2 - Kinder Theft,6,"CCTV again - thief exits store, crouches behind a tiny decorative plant pot, most of his body plainly visible",no,no,,,seedance_2_0_mini @480p,Element: Thief,"CCTV angle, exterior",Locked off,No dialogue | 480p - degraded CCTV look is intentional,"CCTV hum, shuffling",Plant pot size is the joke - must be absurdly small,pending,pending,
2I,Seq 2 - Kinder Theft,5,Thief opens the Kinder behind the plant and starts eating,no,no,,,seedance_2_0_mini @720p,Element: Thief,Close on hands and wrapper,Slight handheld,No dialogue - sound carries it,"Wrapper CRINKLE, loud CRUNCH",CRUNCH is the audio cue that gives him away in 2J,pending,pending,
2J,Seq 2 - Kinder Theft,6,"Michel enters frame, looks left, looks right, hears the crunch, turns toward the plant",yes,yes,המממ... / איפה הוא יכול להיות?,S02_SH10_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium wide,Slow pan following his look,Clean ElevenLabs. CRUNCH lands between lines,"CRUNCH, footsteps, light mystery music",Same exterior as 2H,pending,pending,
2K,Seq 2 - Kinder Theft,4,Michel walks over to the plant and addresses the thief,yes,yes,אדוני? / מה אתה עושה?,S02_SH11_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police + Thief,Two-shot,Michel walks in,Michel clean ElevenLabs. Thief single word separate voice,Footsteps,Thief voice distinct from Michel and dispatch,pending,pending,
2K-T,Seq 2 - Kinder Theft,0,Thief reply - audio only,no,no,כן?,S02_SH11_Thief.wav,n/a - audio only,none,n/a,n/a,Separate ElevenLabs voice for the thief,none,Thief voice locked here for 2L,pending,pending,
2L,Seq 2 - Kinder Theft,4,"Thief looks down at the Kinder in his hand, then up at Michel",no,yes,סלט.,S02_SH12_Thief_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Thief,Close-up,Static,Thief voice. Total silence after the line,Silence - no music,"The single funniest line in the film - 3 takes, pick the flattest",pending,pending,
2M,Seq 2 - Kinder Theft,3,"Michel slowly turns and looks directly into camera, no dialogue",yes,no,,,seedance_2_0,Element: Michel-Benet-Police,Close-up,Very slow turn to lens,Silence - hold the reaction,Room tone only,Pure reaction shot - resist cutting early,pending,pending,
2N,Seq 2 - Kinder Theft,10,"Michel walking outside, recapping the investigation",yes,yes,אז מה קרה פה? / קיבלנו דיווח. / אספנו מידע. / בדקנו מצלמה. / מצאנו ראיות. / ורק אז הבנו מה קרה. / זה חלק חשוב מאוד מעבודת המשטרה.,S02_SH14_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium tracking,Steadicam walking with him,Clean ElevenLabs. Quick B-roll inserts per beat,"Footsteps, street ambience, soft music",Recap inserts reuse 2C/2E/2G frames,pending,pending,
3A,Seq 3 - Police Car,5,"Cinematic exterior of the police car, Michel walking around it",yes,yes,"לביא, ניידת היא לא סתם מכונית.",S03_SH01_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Low wide,Orbit around car,Clean ElevenLabs,"Footsteps, light ambience",Police car design locked here for all of Seq 3 and 4,pending,pending,
3B,Seq 3 - Police Car,7,"Michel opens the door, revealing radio, dashboard, light controls, equipment storage",yes,yes,היא בעצם כלי עבודה על גלגלים.,S03_SH02_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium + inserts,"Door opens, camera moves in",Clean ElevenLabs over insert cutaways,"Door, equipment rattle",Interior layout locked here,pending,pending,
3C,Seq 3 - Police Car,6,"Michel sits inside, naming equipment with matching inserts",yes,yes,יש מכשיר קשר... / אורות חירום... / סירנה...,S03_SH03_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Interior medium + 3 inserts,Static with cut-ins,"Clean ElevenLabs, one insert per named item","Radio static, switch clicks",Each insert must match the item named,pending,pending,
3D,Seq 3 - Police Car,4,Michel looks down and sees a huge panel of buttons,yes,yes,...והרבה מאוד כפתורים.,S03_SH04_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Close-up + POV of panel,Slight tilt down,"Clean ElevenLabs, dry delivery after a pause",Room tone,Button panel design locked for 3E-3L,pending,pending,
3E,Seq 3 - Police Car,4,Michel presses a button - blue emergency lights activate,yes,yes,אורות.,S03_SH05_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Close on finger + exterior cut,"Press, cut to lights","Clean ElevenLabs, single flat word","CLICK, light activation hum",Start of the escalating button runner,pending,pending,
3F,Seq 3 - Police Car,4,"Click - siren blares, Michel jumps slightly",yes,yes,סירנה.,S03_SH06_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium interior,Small startle,"Clean ElevenLabs, same flat delivery","CLICK, SIREN",Same flat tone as 3E - the repetition is the joke,pending,pending,
3H,Seq 3 - Police Car,4,Click - radio music starts. Michel keeps a completely straight face,yes,yes,זה... / חשוב מאוד לעבודת המשטרה.,S03_SH08_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium close,Static,Clean ElevenLabs. Pause between the two halves,"CLICK, cheerful radio music",Face must not break - 3 takes,pending,pending,
3I,Seq 3 - Police Car,5,"Michel notices a large red button, looks at it, then at camera",yes,yes,לביא... / אנחנו לא לוחצים על זה.,S03_SH09_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Close on button, then Michel",Rack focus,"Clean ElevenLabs, calm and instructive",Low ominous tone,Hebrew label לא ללחוץ added in POST only,pending,pending,
3K,Seq 3 - Police Car,3,"Close-up of finger hovering over the red button, then pressing it",yes,yes,ממש לא.,S03_SH11_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Extreme close-up on finger,"Slow hover, then press",Clean ElevenLabs. CLICK lands right after the line,CLICK,Hand must be anatomically correct - common failure point,pending,pending,
3L,Seq 3 - Police Car,8,"Everything activates at once - lights, siren, wipers, radio, loudspeaker, dashboard. Michel presses buttons trying to fix it, each press triggers another system",yes,no,,,seedance_2_0_mini @720p,Element: Michel-Benet-Police,Interior + exterior chaos cuts,"Handheld, escalating cuts",Music and SFX only - no dialogue,"Full button chaos layer, siren, wipers, radio, PA feedback",Escalation must read clearly - build the layers in the mix,pending,pending,
3M,Seq 3 - Police Car,5,"Michel frustrated - then hears his own voice broadcast outside over the PA, and freezes",yes,yes,מי בנה את הדבר הזה?!,S03_SH13_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium interior,Freeze on realization,"Clean ElevenLabs used TWICE - dry inside, then same take with PA processing outside","PA squeal, siren bed",Must be the SAME take processed two ways,pending,pending,
3O,Seq 3 - Police Car,5,"Michel grabs the PA microphone, very serious",yes,yes,בדיקת מערכת. / הכול תקין.,S03_SH15_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium interior,Static,Clean ElevenLabs + PA processing. Pause between lines,"PA click, light feedback",PA processing identical to 3M exterior,pending,pending,
3P,Seq 3 - Police Car,12,Michel beside the police car - the real educational wrap,yes,no,וברצינות — כל הציוד הזה עוזר לשוטרים לעבוד. / מכשיר הקשר עוזר לדבר עם שוטרים אחרים. / האורות והסירנה עוזרים במצבי חירום. / והניידת עוזרת להגיע למקומות שבהם צריכים אותנו. / וכמובן... / ...עדיף לדעת מה כל כפתור עושה.,S03_SH16_Michel.wav,seedance_2_0_mini @720p,Element: Michel-Benet-Police,"Medium, then look through window","Slow push-in, then glance",ElevenLabs VO over B-roll - no lipsync pass,"Soft educational music, light ambience",Calm again - clean separation from the chaos,pending,pending,
4B,Seq 4 - Teamwork,10,Michel on camera explaining the police team structure,yes,no,"יש שוטרים בשטח, מוקדנים, חוקרים, ניידות, ולפעמים גם כוחות מהאוויר. / כולם צריכים להעביר מידע ולעבוד ביחד.",S04_SH02_Michel.wav,seedance_2_0_mini @720p,Element: Michel-Benet-Police,Medium,Very slow push-in,ElevenLabs VO over B-roll - no lipsync pass,Soft music bed,Densest educational content - clarity over pace,pending,pending,
5A,Final - What Police Do,12,"Michel outside the police station, calmer music",yes,yes,"אז לביא, מה למדנו היום?",S05_SH01_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium wide,Slow push-in,"Clean ElevenLabs, warm and calm","Calm music bed, light ambience",Returns to the 0A location - closes the loop,pending,pending,
5B,Final - What Police Do,14,"Montage with VO - helping interaction, patrol, CCTV, road and police car",no,no,המשטרה עוזרת לאנשים. / שומרת על הביטחון. / חוקרת כשמשהו קורה. / אוכפת את החוק. / ומנסה להבין מה באמת קרה לפני שמחליטים מה לעשות.,S05_SH02_Michel.wav,seedance_2_0_mini @720p,Reuse established assets,Montage,One image per line,ElevenLabs VO over B-roll - no lipsync pass,"Soft music, layered ambience",Each line needs its own clear matching image,pending,pending,
5C,Final - What Police Do,10,"Michel to camera - taps radio, points at car, points up, then points to his own head",yes,yes,והכלי הכי חשוב של שוטר... / זה לא מכשיר הקשר. / לא הניידת. / ולא המסוק. / זה הראש שלו.,S05_SH03_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium,Gestures timed to each line,Clean ElevenLabs. Pause before the final line,Music drops out for the last line,The thesis of the film - gestures must hit precisely,pending,pending,
5D,Final - What Police Do,10,Michel listing what an officer actually needs,yes,no,שוטר צריך להקשיב. / לחשוב. / לבדוק. / לעבוד עם אחרים. / ולהחליט איך לעזור.,S05_SH04_Michel.wav,seedance_2_0_mini @720p,Element: Michel-Benet-Police,Medium close,Static,ElevenLabs VO over B-roll - no lipsync pass,Minimal music,Short sentences - let each one land,pending,pending,
5E,Final - What Police Do,9,"Michel gives Lavi his challenge, then smiles",yes,yes,"ועכשיו יש לי משימה בשבילך, לביא. / תנסה להסביר למישהו בבית... / מה המשטרה עושה? / אם הצלחת — סימן שלמדת משהו חדש.",S05_SH05_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Medium, direct to lens",Slight push-in on the smile,"Clean ElevenLabs, warm and direct",Warm music,Only genuine smile in the film - worth 3 takes,pending,pending,
5F,Final - What Police Do,5,"Michel walks away, stops, checks pockets, confused. Cut to the thief behind the same tiny plant, eating",yes,yes,רגע... / איפה הקינדר שלי? / באמת?!,S05_SH06_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police + Thief,"Medium, then CCTV-style insert","Walk, stop, turn",Clean ElevenLabs. Final line is off-screen over the thief shot,"Pocket rustle, CRUNCH, comedic button",Same plant pot and thief as 2H - exact match required,pending,pending,
